int	int	int	int	int[]	string	int	string	string	int	int[]	int	int	string	string	int	int	int	int
ID	Type	Group	NeedCnt	Condition	Condition2	Condition3	AwardItemList	Money	Exp	AwardAttribute	RedPacketID	MagicWeaponID	MagicWeaponExp	Describe	NeedGoto	Jump	ReOrder	RealmPracticeID
成就ID	成就类型	成就组别	需求数量	辅助条件	第二辅助条件	辅助条件3	奖励物品	奖励金钱	经验奖励	奖励属性	红包ID	法宝ID	法宝经验	法宝界面成就描述	有没有前往按钮	界面跳转ID	主界面推荐顺序	境界修行ID
1	3	1	1	1000					0		0	101	0	【剧情】通关石头人试炼	1	0	1	
2	3	2	1	1000					0		0	101	0	【剧情】通关二师兄下山试炼	1	0	2	
6	27	3	7	15		150		2_20	0		0	101	20	【强化】7件装备强化至15级	1	145	3	
7	3	5	1	4002		150		2_20	0		0	101	20	【魔宝】完成乾云镜支线	1	0	4	
11	1	1	10	0				2_10	0		0	102	10	【等级】角色10级	1	0	1	
12	39	2	1	1|1				2_10	0		0	102	10	【装备】穿戴1件装备	1	0	2	
16	39	3	4	1|1				2_10	0		0	102	10	【装备】穿戴4件装备	1	0	3	
17	26	4	10	0				2_10	0		0	102	10	【强化】装备强化10级	1	145	4	
21	6	6	2	0		150		2_20	0		0	102	20	【仙盟】仙盟任务20环	1	126	5	
22	39	9	1	4|4		150		2_20	0		0	102	20	【装备】四阶橙装1件	1	0	6	
41	39	1	6	1|1				2_10	0		0	103	10	【装备】穿戴6件装备	1	0	1	
42	1	2	25	0				2_10	0		0	103	10	【等级】角色25级	1	0	2	
46	36	3	1	60203001	60203001			2_10	0		0	103	10	【封魔】击败：魔坛巨熊	1	104	3	
47	39	4	3	1|2				2_10	0		0	103	10	【装备】穿戴3件蓝装	1	0	4	
48	1	5	30	0				2_10	0		0	103	10	【等级】角色30级	1	0	5	
49	26	6	20	0				2_10	0		0	103	10	【强化】装备强化20级	1	145	6	
51	81	7	20	52010		160		2_20	0		0	103	20	【封魔坛】鼓舞20次	1	104	7	
52	105	8	5	0		160		2_20	0		0	103	20	【封魔坛】双倍奖励5次	1	104	8	
53	39	9	3	4|4		160		2_20	0		0	103	20	【装备】四阶橙装3件	1	0	9	
55	48	48	25	0		160		2_10	0		0	103	10	【封魔坛】击败Boss25次	1	104	10	
56	48	48	30	0		160		2_10	0		0	103	10	【封魔坛】击败Boss30次	1	104	11	
71	36	1	28	10202001				2_10	0		0	104	10	【除魔】击败魂灵	1	0	1	
72	42	2	1	102				2_10	0		0	104	10	【符印塔】[36级]通关生命塔二层	1	99	2	
73	39	3	5	1|2				2_10	0		0	104	10	【装备】穿戴5件蓝色装备	1	0	3	
74	42	4	1	104				2_10	0		0	104	10	【符印塔】[44级]通关生命塔四层	1	99	4	
75	44	5	1	2				2_10	0		0	104	10	【符印】镶嵌1枚蓝色符印	1	22	5	
76	45	7	60	0		180		2_20	0		0	104	20	【符印】符印总等级60级	1	22	6	
77	121	8	2	0		180		2_20	0		0	104	20	【符印塔】扫荡2次	1	99	7	
78	42	9	1	502		180		2_20	0		0	104	20	【符印塔】通关水御塔二层	1	99	8	
80	6	11	3	0		180		2_10	0		0	104	10	【仙盟】仙盟任务30环	1	126	9	
81	48	12	40	0		180		2_10	0		0	104	10	【封魔坛】击败Boss40次	1	104	10	
82	7	13	10	0		180		2_10	0		0	104	10	【日常】通关麒麟之府10次	1	44	11	
101	42	1	1	106				2_10	0		0	105	10	【符印塔】通关生命塔六层	1	99	1	
102	36	2	40	10301003				2_10	0		0	105	10	【除魔】击败亡灵剑士	1	0	2	
103	60	3	1	1				2_10	0		0	105	10	【宝石】镶嵌生命翡翠	1	13	3	
