string	string	string	int[]	string	int
key	sound	effect	type	richText	order
查找key	音效	特效	类型：控制位置和显示方式	富文本	优先级(值越高优先级越高,固定提示以及聊天频道不受此规则约束)
VipLevel	0	0	1	Vip等级不足	0
PrayerWin_1	0	0	1	Vip已过期，请续费	0
VipCardHint1	0	0	1	恭喜您激活<color=#ff6701ff>VIP体验卡</color>，获得免费传送、免费私人提醒等多项特权	0
VipCardHint2	0	0	1	您已经购买过VIP，无法使用VIP体验卡	0
PassEquipLimitVip	0	0	1	玩家达到<color=#fa1010>VIP%s0</color>开启	0
PassEquipLimitVipPast	0	0	1	玩家Vip已过期，请激活Vip重新开启	0
PassEquipLimitMountLevel	0	0	1	坐骑总等级达到<color=#fa1010>%s0</color>开启	0
VipTiyan_Timeout	0	0	1	Vip体验已过期，续费以获得更好的特权享受	0
Vip_Timeout	0	0	1	Vip已过期，续费继续享受Vip特权	0
VipCardHint3	0	0	1	<Word info=item ID=%s0/>使用成功！	0
FuncNoOpen_BossHome	0	0	1	<color=#ff0303>%s0级</color>开启Vip特权Boss之家	0
AchemyGreatSuccess	0	0	4|20	恭喜<color=#109d06>%s0</color>在<color=#006be3>八卦炉</color>里炼成极品<a><Word info=item ID=%s1/>|showitem=%s1</a>	0
BuyItemHinit	0	0	1	您消耗%s0<Word info=RichTextMsgReplace Name=MONEY id=%s1/>购买了%s2	0
BoxOpenCostMoney	0	0	1	消费<Word info=RichTextMsgReplace Name=MONEY id=%s0/>不足，无法打开宝箱	0
OpenBoxToolNoEnough	0	0	1	%s0不足无法开启宝箱	0
GeRen_chenxin_609765	0	0	1	您携带的铜钱已达上限	0
GeRen_chenxin_749572	0	0	1	物品在冷却时间，无法使用	0
BagFull	0	0	1	您的<color=#ff0303>背包</color>已满，请清理背包	0
GeRen_chenxin_644055	0	0	1	该物品已锁定	0
FuncNoOpen_WorldBoss	0	0	1	<color=#ff0303>%s0级</color>开启世界Boss	0
WingWash_1	0	0	1	当前未佩戴翅膀，只能精炼佩戴在身上的翅膀	0
WingWash_2	0	0	1	请先选择精炼材料	0
CreatSuccess	0	0	1|20	角色已经创建！	0
NameError	0	0	1|20	角色名称错误，请重新命名	0
CreatingCharacter	0	0	1|20	角色创建中，请稍后…	0
CreatUnusual	0	0	1|20	角色创建异常！	0
RepeatName	0	0	1	角色名已存在！	0
LoginSuccess	0	0	1	登录成功	0
LoginFaile	0	0	1	登录失败	0
RegisterSuccess	0	0	1	注册成功	0
RegisterFaile	0	0	1	注册失败	0
