int	int	string	string	string	string	string	int[]	int
TaskID	ChapterID	ChapterName	TaskName	TaskDescribe	TaskRewards	TaskTarget	CollectNPC	FabaoID
任务ID	章节ID	章节名字	任务名称	任务描述	任务奖励	任务目标	采集任务	任务对应的法宝ID
101010	1	第一章  神诀宗	ms_name_101010	info_101010_0_0_msg	info_101010_0_0_reward_0	m_info_101010_0_0_0_msg	0	101
101020	1	第一章  神诀宗	ms_name_101020	info_101020_0_1_msg	info_101020_0_1_reward_0	m_info_101020_0_1_0_msg	0	101
101030	1	第一章  神诀宗	ms_name_101030	info_101030_0_1_msg	info_101030_0_1_reward_0	m_info_101030_0_1_0_msg	0	101
101040	1	第一章  神诀宗	ms_name_101040	info_101040_0_1_msg	info_101040_0_1_reward_0	m_info_101040_0_1_0_msg	0	101
101050	1	第一章  神诀宗	ms_name_101050	info_101050_0_1_msg	info_101050_0_1_reward_0	m_info_101050_0_1_0_msg	0	101
101060	1	第一章  神诀宗	ms_name_101060	info_101060_0_1_msg	info_101060_0_1_reward_0	m_info_101060_0_1_0_msg	0	102
101070	1	第一章  神诀宗	ms_name_101070	info_101070_0_1_msg	info_101070_0_1_reward_0	m_info_101070_0_1_0_msg	0	102
101080	1	第一章  神诀宗	ms_name_101080	info_101080_0_1_msg	info_101080_0_1_reward_0	m_info_101080_0_1_0_msg	0	102
101090	1	第一章  神诀宗	ms_name_101090	info_101090_0_1_msg	info_101090_0_1_reward_0	m_info_101090_0_1_0_msg	0	102
101100	1	第一章  神诀宗	ms_name_101100	info_101100_0_1_msg	info_101100_0_1_reward_0	m_info_101100_0_1_0_msg	0	102
101110	1	第一章  神诀宗	ms_name_101110	info_101110_0_1_msg	info_101110_0_1_reward_0	m_info_101110_0_1_0_msg	0	102
101120	1	第一章  神诀宗	ms_name_101120	info_101120_0_1_msg	info_101120_0_1_reward_0	m_info_101120_0_1_0_msg	0	102
101130	1	第一章  神诀宗	ms_name_101130	info_101130_0_1_msg	info_101130_0_1_reward_0	m_info_101130_0_1_0_msg	0	102
102010	2	第二章  影谷	ms_name_102010	info_102010_0_1_msg	info_102010_0_1_reward_0	m_info_102010_0_1_0_msg	0	102
102020	2	第二章  影谷	ms_name_102020	info_102020_0_1_msg	info_102020_0_1_reward_0	m_info_102020_0_1_0_msg	0	102
102030	2	第二章  影谷	ms_name_102030	info_102030_0_1_msg	info_102030_0_1_reward_0	m_info_102030_0_1_0_msg	0	103
102040	2	第二章  影谷	ms_name_102040	info_102040_0_1_msg	info_102040_0_1_reward_0	m_info_102040_0_1_0_msg	0	103
102050	2	第二章  影谷	ms_name_102050	info_102050_0_1_msg	info_102050_0_1_reward_0	m_info_102050_0_1_0_msg	0	103
102060	2	第二章  影谷	ms_name_102060	info_102060_0_1_msg	info_102060_0_1_reward_0	m_info_102060_0_1_0_msg	0	103
102070	2	第二章  影谷	ms_name_102070	info_102070_0_1_msg	info_102070_0_1_reward_0	m_info_102070_0_1_0_msg	0	103
102080	2	第二章  影谷	ms_name_102080	info_102080_0_1_msg	info_102080_0_1_reward_0	m_info_102080_0_1_0_msg	0	103
102090	2	第二章  影谷	ms_name_102090	info_102090_0_1_msg	info_102090_0_1_reward_0	m_info_102090_0_1_0_msg	0	103
102100	2	第二章  影谷	ms_name_102100	info_102100_0_1_msg	info_102100_0_1_reward_0	m_info_102100_0_1_0_msg	0	103
102110	2	第二章  影谷	ms_name_102110	info_102110_0_1_msg	info_102110_0_1_reward_0	m_info_102110_0_1_0_msg	0	103
102120	2	第二章  影谷	ms_name_102120	info_102120_0_1_msg	info_102120_0_1_reward_0	m_info_102120_0_1_0_msg	0	104
102130	2	第二章  影谷	ms_name_102130	info_102130_0_1_msg	info_102130_0_1_reward_0	m_info_102130_0_1_0_msg	0	104
102140	2	第二章  影谷	ms_name_102140	info_102140_0_1_msg	info_102140_0_1_reward_0	m_info_102140_0_1_0_msg	0	104
102150	2	第二章  影谷	ms_name_102150	info_102150_0_1_msg	info_102150_0_1_reward_0	m_info_102150_0_1_0_msg	0	104
102160	2	第二章  影谷	ms_name_102160	info_102160_0_1_msg	info_102160_0_1_reward_0	m_info_102160_0_1_0_msg	0	104
102170	2	第二章  影谷	ms_name_102170	info_102170_0_1_msg	info_102170_0_1_reward_0	m_info_102170_0_1_0_msg	0	104
103010	3	第三章  御剑山庄	ms_name_103010	info_103010_0_1_msg	info_103010_0_1_reward_0	m_info_103010_0_1_0_msg	0	104
103020	3	第三章  御剑山庄	ms_name_103020	info_103020_0_1_msg	info_103020_0_1_reward_0	m_info_103020_0_1_0_msg	0	104
103030	3	第三章  御剑山庄	ms_name_103030	info_103030_0_1_msg	info_103030_0_1_reward_0	m_info_103030_0_1_0_msg	0	104
103040	3	第三章  御剑山庄	ms_name_103040	info_103040_0_1_msg	info_103040_0_1_reward_0	m_info_103040_0_1_0_msg	0	104
103050	3	第三章  御剑山庄	ms_name_103050	info_103050_0_1_msg	info_103050_0_1_reward_0	m_info_103050_0_1_0_msg	0	104
103060	3	第三章  御剑山庄	ms_name_103060	info_103060_0_1_msg	info_103060_0_1_reward_0	m_info_103060_0_1_0_msg	0	104
103070	3	第三章  御剑山庄	ms_name_103070	info_103070_0_1_msg	info_103070_0_1_reward_0	m_info_103070_0_1_0_msg	0	105
103080	3	第三章  御剑山庄	ms_name_103080	info_103080_0_1_msg	info_103080_0_1_reward_0	m_info_103080_0_1_0_msg	0	105
103090	3	第三章  御剑山庄	ms_name_103090	info_103090_0_1_msg	info_103090_0_1_reward_0	m_info_103090_0_1_0_msg	0	105
103100	3	第三章  御剑山庄	ms_name_103100	info_103100_0_1_msg	info_103100_0_1_reward_0	m_info_103100_0_1_0_msg	0	105
103110	3	第三章  御剑山庄	ms_name_103110	info_103110_0_1_msg	info_103110_0_1_reward_0	m_info_103110_0_1_0_msg	0	105
103120	3	第三章  御剑山庄	ms_name_103120	info_103120_0_1_msg	info_103120_0_1_reward_0	m_info_103120_0_1_0_msg	0	105
103130	3	第三章  御剑山庄	ms_name_103130	info_103130_0_1_msg	info_103130_0_1_reward_0	m_info_103130_0_1_0_msg	0	105
103140	3	第三章  御剑山庄	ms_name_103140	info_103140_0_1_msg	info_103140_0_1_reward_0	m_info_103140_0_1_0_msg	0	105
103150	3	第三章  御剑山庄	ms_name_103150	info_103150_0_1_msg	info_103150_0_1_reward_0	m_info_103150_0_1_0_msg	0	105
103160	3	第三章  御剑山庄	ms_name_103160	info_103160_0_1_msg	info_103160_0_1_reward_0	m_info_103160_0_1_0_msg	0	105
103170	3	第三章  御剑山庄	ms_name_103170	info_103170_0_1_msg	info_103170_0_1_reward_0	m_info_103170_0_1_0_msg	0	106
103180	3	第四章  逍遥城	ms_name_103180	info_103180_0_1_msg	info_103180_0_1_reward_0	m_info_103180_0_1_0_msg	0	106
103190	3	第四章  逍遥城	ms_name_103190	info_103190_0_1_msg	info_103190_0_1_reward_0	m_info_103190_0_1_0_msg	0	106
104010	4	第四章  逍遥城	ms_name_104010	info_104010_0_1_msg	info_104010_0_1_reward_0	m_info_104010_0_1_0_msg	0	106
104020	4	第四章  逍遥城	ms_name_104020	info_104020_0_1_msg	info_104020_0_1_reward_0	m_info_104020_0_1_0_msg	0	106
104030	4	第四章  逍遥城	ms_name_104030	info_104030_0_1_msg	info_104030_0_1_reward_0	m_info_104030_0_1_0_msg	10404100	106
104040	4	第四章  逍遥城	ms_name_104040	info_104040_0_1_msg	info_104040_0_1_reward_0	m_info_104040_0_1_0_msg	0	106
104050	4	第四章  逍遥城	ms_name_104050	info_104050_0_1_msg	info_104050_0_1_reward_0	m_info_104050_0_1_0_msg	0	106
104060	4	第四章  逍遥城	ms_name_104060	info_104060_0_1_msg	info_104060_0_1_reward_0	m_info_104060_0_1_0_msg	0	106
104070	4	第四章  逍遥城	ms_name_104070	info_104070_0_1_msg	info_104070_0_1_reward_0	m_info_104070_0_1_0_msg	0	106
104080	4	第四章  逍遥城	ms_name_104080	info_104080_0_1_msg	info_104080_0_1_reward_0	m_info_104080_0_1_0_msg	0	106
104090	4	第四章  逍遥城	ms_name_104090	info_104090_0_1_msg	info_104090_0_1_reward_0	m_info_104090_0_1_0_msg	0	106
104100	4	第四章  逍遥城	ms_name_104100	info_104100_0_1_msg	info_104100_0_1_reward_0	m_info_104100_0_1_0_msg	0	106
104110	4	第四章  逍遥城	ms_name_104110	info_104110_0_1_msg	info_104110_0_1_reward_0	m_info_104110_0_1_0_msg	0	106
104120	4	第四章  逍遥城	ms_name_104120	info_104120_0_1_msg	info_104120_0_1_reward_0	m_info_104120_0_1_0_msg	0	106
104130	4	第四章  逍遥城	ms_name_104130	info_104130_0_1_msg	info_104130_0_1_reward_0	m_info_104130_0_1_0_msg	0	106
