int	int	int	string	string	string	string	string	string	string	string	string	int	int[]	int	int	int	int[]	string	int	string[]	int	int
ID	Category	PreTreasure	Name	Icon	NameIcon	TreasureNameIcon	Model	SourceDescription	Story	IndexTitle	StoryName	RequirementTotal	Achievements	MapId	LineId	ChallengeLevel	Potentials	NeedItem	EffectID	Verse	ShowNetGotEffect	PreferredStage
唯一标识	分类	前置法宝	法宝名称	图标	名字的Icon	法宝详情界面名字Icon	3D模型	来源	描述	章节标题	故事名称	总共需要的完成度	成就	法宝副本地图id	法宝副本线路id	可挑战等级，用于魔族法宝	技能潜力升级	开启需要消耗物品	法宝特效ID	获得法宝诗句描述	是否显示主界面右上方的法宝新获得特效	普通阶段优先的星阶
101	1	0	定海神针	Renzu_102	Renzu_Text_101	WZ_FB_101	Fb_Rz_002		龙纹凤篆如意铁</r>无穷变化定海针	第1章	潜龙升渊	1	1	0	0	0	50005|50035|50065|55005|55035|55065|60005|60035|60065		5002	龙纹凤篆如意铁</r>无穷变化定海针	1	0
102	1	101	皓月枪	Renzu_103	Renzu_Text_102	WZ_FB_102	Fb_Rz_006		皓夜潇潇，月色悠悠</r>枪如寒冰，浮光掠影	第2章	宝灵试炼	2	801|816	41110	0	0	50105|50135|50165|55105|55135|55165|60105|60135|60165		5006	皓夜潇潇，月色悠悠</r>枪如寒冰，浮光掠影	0	2
103	1	102	鬼牙刃	Renzu_107	Renzu_Text_103	WZ_FB_103	Fb_Rz_003		狰狞恶鬼筑其刃</r>无尽血狱扬威名	第3章	宗门试炼	2	802|817	41110	1	0	50405|50435|50465|55405|55435|55465|60405|60435|60465		5003	狰狞恶鬼筑其刃</r>无尽血狱扬威名	0	2
104	1	103	龙雀环	Renzu_101	Renzu_Text_104	WZ_FB_104	Fb_Rz_001		龙腾九霄凭空起</r>雀飞残云随风舞	第4章	影谷之迷	2	803|818	41110	2	0	1005|1035|1065|2005|2035|2065|3005|3035|3065		5001	龙腾九霄凭空起</r>雀飞残云随风舞	0	2
105	1	104	磐龙印	Renzu_104	Renzu_Text_105	WZ_FB_105	Fb_Rz_004		无边海域藏龙印</r>卧龙醒眸四方惊	第5章	御剑之忧	2	804|819	41110	3	0	50205|50235|50265|55205|55235|55265|60205|60235|60265		5004	无边海域藏龙印</r>卧龙醒眸四方惊	0	2
106	1	105	杏黄旗	Renzu_106	Renzu_Text_106	WZ_FB_106	Fb_Rz_007		混乱阴阳，颠倒五行</r>诸邪避退，万法不侵	第6章	逍遥隐患	2	805|820	41110	4	0	50305|50335|50365|55305|55335|55365|60305|60335|60365		5007	混乱阴阳，颠倒五行</r>诸邪避退，万法不侵	0	4
107	1	106	东皇钟	Renzu_108	Renzu_Text_107	WZ_FB_107	Fb_Rz_008		东有神钟镇妖邪</r>世人皆知天地门	第7章	冰封之地	2	806|821	41110	5	0	50505|50535|50565|55505|55535|55565|60505|60535|60565		5008	东有神钟镇妖邪</r>世人皆知天地门	1	4
108	1	107	紫金葫芦	Renzu_109	Renzu_Text_108	WZ_FB_108	Fb_Rz_009		昆仑山下仙藤枝</r>混沌初分长生物	第8章	海中遗迹	2	807|822	41110	6	0	50605|50635|50665|55605|55635|55665|60605|60635|60665		5009	昆仑山下仙藤枝</r>混沌初分长生物	1	4
