int	int	int	string	int	string	string	string	int	string[]
ID	Type	NeedCnt	Condition	MagicWeaponID	AwardItemList	Money	AdviceIds	JumpID	EffectIconKeys
编号	类型	需求数量	条件	法宝ID	奖励物品列表	奖励金钱列表	推荐装备列表	界面跳转ID	法宝效果加成图标
3	2	1	[[3,3,0,3]]	305	[]	[[3,1000000]]	{"1":[10323],"2":[20323]}	1015	HappyXZ_5
4	2	1	[[3,3,0,4]]	305	[]	[[3,1000000]]	{"1":[10324],"2":[20324]}	1015	HappyXZ_5
5	2	1	[[3,3,0,5]]	305	[]	[[3,1000000]]	{"1":[10325],"2":[20325]}	1015	HappyXZ_5
6	2	1	[[3,3,0,6]]	305	[]	[[3,1000000]]	{"1":[10326],"2":[20326]}	1015	HappyXZ_5
7	2	1	[[3,3,0,7]]	305	[]	[[3,1000000]]	{"1":[10327],"2":[20327]}	1015	HappyXZ_5
11	2	1	[[3,4,1,1]]	306	[[2318,1]]	[]	{"1":[10341],"2":[20341]}	1016	HappyXZ_6
12	2	1	[[3,4,1,2]]	306	[[2318,1]]	[]	{"1":[10342],"2":[20342]}	1016	HappyXZ_6
13	2	1	[[3,4,1,3]]	306	[[2318,1]]	[]	{"1":[10343],"2":[20343]}	1016	HappyXZ_6
14	2	1	[[3,4,1,4]]	306	[[2318,1]]	[]	{"1":[10344],"2":[20344]}	1016	HappyXZ_6
15	2	1	[[3,4,1,5]]	306	[[2318,1]]	[]	{"1":[10345],"2":[20345]}	1016	HappyXZ_6
16	2	1	[[3,4,1,6]]	306	[[2318,1]]	[]	{"1":[10346],"2":[20346]}	1016	HappyXZ_6
17	2	1	[[3,4,1,7]]	306	[[2318,1]]	[]	{"1":[10347],"2":[20347]}	1016	HappyXZ_6
21	2	1	[[4,4,2,1]]	307	[[181,5]]	[]	{"1":[10451,10551],"2":[20451,20551]}	1017	HappyXZ_7
22	2	1	[[4,4,2,2]]	307	[[181,5]]	[]	{"1":[10452,10552],"2":[20452,20552]}	1017	HappyXZ_7
23	2	1	[[4,4,2,3]]	307	[[181,5]]	[]	{"1":[10453,10553],"2":[20453,20553]}	1017	HappyXZ_7
24	2	1	[[4,4,2,4]]	307	[[181,5]]	[]	{"1":[10454,10554],"2":[20454,20554]}	1017	HappyXZ_7
25	2	1	[[4,4,2,5]]	307	[[181,5]]	[]	{"1":[10455,10555],"2":[20455,20555]}	1017	HappyXZ_7
26	2	1	[[4,4,2,6]]	307	[[181,5]]	[]	{"1":[10456,10556],"2":[20456,20556]}	1017	HappyXZ_7
27	2	1	[[4,4,2,7]]	307	[[181,5]]	[]	{"1":[10457,10557],"2":[20457,20557]}	1017	HappyXZ_7
