int	int	int	string	string	int	int	int	int	int
id	TreasureID	TreasureLV	TreasureLVStatus	TreasureUpItems	SuccessRate	OpenSkill	BlastFurnaceLV	AllTreasureLV	IsCoreSkill
id	法宝id	法宝阶数	属性（最多4条）	铸炼材料	成功率	解锁技能	所需炼丹炉等级	所需所有法宝等级	对应的技能是否核心技能
10101	101	1	6_1172|7_58	4619_130	8000		3	10	
10102	101	2	6_2633|7_131	4619_160	8000		3	10	
10103	101	3	6_4484|7_224	4619_210	8000		3	10	
10104	101	4	6_6852|7_342	4619_260	7000		3	10	
10105	101	5	6_9890|7_494	4619_350	7000	47000	3	10	1
10501	105	1	6_1172|7_58	4619_130	8000		3	10	
10502	105	2	6_2633|7_131	4619_160	8000		3	10	
10503	105	3	6_4484|7_224	4619_210	8000		3	10	
10504	105	4	6_6852|7_342	4619_260	7000		3	10	
10505	105	5	6_9890|7_494	4619_350	7000	47001	3	10	1
10601	106	1	6_1172|7_58	4619_130	8000		4	10	
10602	106	2	6_2633|7_131	4619_160	8000		4	10	
10603	106	3	6_4484|7_224	4619_210	8000	47002	4	10	0
10604	106	4	6_6852|7_342	4619_260	7000		4	10	
10605	106	5	6_9890|7_494	4619_350	7000		4	10	
10606	106	6	6_13773|7_688	4619_460	6000	47003	4	10	0
10607	106	7	6_18705|7_935	4619_630	6000		4	10	
10608	106	8	6_24913|7_1245	4619_880	4000		4	10	
10609	106	9	6_32651|7_1632	4619_1220	4000		4	10	
10610	106	10	6_42198|7_2109	4619_1690	2000	47004	4	10	1
10701	107	1	6_1172|7_58	4619_130	8000		4	10	
10702	107	2	6_2633|7_131	4619_160	8000		4	10	
10703	107	3	6_4484|7_224	4619_210	8000		4	10	
10704	107	4	6_6852|7_342	4619_260	7000		4	10	
10705	107	5	6_9890|7_494	4619_350	7000	47005	4	10	0
10706	107	6	6_13773|7_688	4619_460	6000		4	10	
10707	107	7	6_18705|7_935	4619_630	6000		4	10	
10708	107	8	6_24913|7_1245	4619_880	4000		4	10	
10709	107	9	6_32651|7_1632	4619_1220	4000		4	10	
10710	107	10	6_42198|7_2109	4619_1690	2000	47006	4	10	1
10401	104	1	6_1172|7_58	4619_130	8000		5	10	
10402	104	2	6_2633|7_131	4619_160	8000		5	10	
10403	104	3	6_4484|7_224	4619_210	8000	47007	5	10	0
10404	104	4	6_6852|7_342	4619_260	7000		5	10	
10405	104	5	6_9890|7_494	4619_350	7000		5	10	
10406	104	6	6_13773|7_688	4619_460	6000	47008	5	10	1
10407	104	7	6_18705|7_935	4619_630	6000		5	10	
10408	104	8	6_24913|7_1245	4619_880	4000		5	10	
10409	104	9	6_32651|7_1632	4619_1220	4000		5	10	
10410	104	10	6_42198|7_2109	4619_1690	2000	47009	5	10	0
10201	102	1	6_1172|7_58	4619_130	8000		6	10	
10202	102	2	6_2633|7_131	4619_160	8000		6	10	
10203	102	3	6_4484|7_224	4619_210	8000	47010	6	10	0
10204	102	4	6_6852|7_342	4619_260	7000		6	10	
10205	102	5	6_9890|7_494	4619_350	7000		6	10	
10206	102	6	6_13773|7_688	4619_460	6000	47011	6	10	0
10207	102	7	6_18705|7_935	4619_630	6000		6	10	
10208	102	8	6_24913|7_1245	4619_880	4000		6	10	
10209	102	9	6_32651|7_1632	4619_1220	4000		6	10	
10210	102	10	6_42198|7_2109	4619_1690	2000	47012	6	10	1
10901	109	1	6_1172|7_58	4619_130	8000		7	10	
10902	109	2	6_2633|7_131	4619_160	8000		7	10	
10903	109	3	6_4484|7_224	4619_210	8000		7	10	
10904	109	4	6_6852|7_342	4619_260	7000		7	10	
10905	109	5	6_9890|7_494	4619_350	7000	47013	7	10	0
10906	109	6	6_13773|7_688	4619_460	6000		7	10	
10907	109	7	6_18705|7_935	4619_630	6000		7	10	
10908	109	8	6_24913|7_1245	4619_880	4000		7	10	
10909	109	9	6_32651|7_1632	4619_1220	4000		7	10	
10910	109	10	6_42198|7_2109	4619_1690	2000	47014	7	10	1
11001	110	1	6_1172|7_58	4619_130	8000		8	10	
11002	110	2	6_2633|7_131	4619_160	8000		8	10	
11003	110	3	6_4484|7_224	4619_210	8000		8	10	
11004	110	4	6_6852|7_342	4619_260	7000		8	10	
11005	110	5	6_9890|7_494	4619_350	7000	47015	8	10	0
11006	110	6	6_13773|7_688	4619_460	6000		8	10	
11007	110	7	6_18705|7_935	4619_630	6000		8	10	
11008	110	8	6_24913|7_1245	4619_880	4000		8	10	
11009	110	9	6_32651|7_1632	4619_1220	4000		8	10	
11010	110	10	6_42198|7_2109	4619_1690	2000	47016	8	10	1
