int	int	int	int	int	int[]	int[]	int[]
ID	SkillType	SkillLv	MeterialNum1	InitialRate	Meterial2ID	MeterialNum2	Rate
技能升级ID	技能升级类型	技能等级	升到当前级消耗SP点	初始概率	升到当前级溶彩石ID	升到当前级溶彩石数量	升到当前级概率
101	1	1	36287	10000	141|142|143|144	0|0|0|0	10000|10000|10000|10000
102	1	2	50823	10000	141|142|143|144	0|0|0|0	10000|10000|10000|10000
103	1	3	59988	10000	141|142|143|144	0|0|0|0	10000|10000|10000|10000
104	1	4	78376	10000	141|142|143|144	0|0|0|0	10000|10000|10000|10000
105	1	5	122972	10000	141|142|143|144	0|0|0|0	10000|10000|10000|10000
106	1	6	198799	1500	141|142|143|144	1|1|1|1	8000|8000|8000|8000
107	1	7	215280	1500	141|142|143|144	2|2|2|2	8000|8000|8000|8000
108	1	8	254902	1500	141|142|143|144	3|3|3|3	8000|8000|8000|8000
109	1	9	274572	1500	141|142|143|144	4|4|4|4	8000|8000|8000|8000
110	1	10	319546	1500	141|142|143|144	4|4|4|4	8000|8000|8000|8000
111	1	11	341196	1500	141|142|143|144	5|5|5|5	8000|8000|8000|8000
112	1	12	639863	1500	141|142|143|144	7|7|7|7	8000|8000|8000|8000
113	1	13	719649	1500	141|142|143|144	7|7|7|7	8000|8000|8000|8000
114	1	14	804249	1500	141|142|143|144	8|8|8|8	8000|8000|8000|8000
115	1	15	1002642	1500	141|142|143|144	9|9|9|9	8000|8000|8000|8000
116	1	16	1049174	1000	141|142|143|144	7|7|7|7	1100|6000|6000|6000
117	1	17	1075248	1000	141|142|143|144	8|8|8|8	1100|6000|6000|6000
118	1	18	1162695	1000	141|142|143|144	8|8|8|8	1100|6000|6000|6000
119	1	19	1253012	1000	141|142|143|144	9|9|9|9	1100|6000|6000|6000
120	1	20	1486392	1000	141|142|143|144	10|10|10|10	1100|6000|6000|6000
121	1	21	1524389	500	141|142|143|144	7|7|7|7	600|800|6000|6000
122	1	22	1674286	500	141|142|143|144	8|8|8|8	600|800|6000|6000
123	1	23	1749540	500	141|142|143|144	8|8|8|8	600|800|6000|6000
124	1	24	1912057	500	141|142|143|144	9|9|9|9	600|800|6000|6000
125	1	25	2273984	500	141|142|143|144	10|10|10|10	600|800|6000|6000
201	2	1	376490	1000	141|142|143|144	1|1|1|1	1100|8000|8000|8000
202	2	2	489900	1000	141|142|143|144	2|2|2|2	1100|8000|8000|8000
203	2	3	535429	1000	141|142|143|144	3|3|3|3	1100|8000|8000|8000
204	2	4	580715	1000	141|142|143|144	4|4|4|4	1100|8000|8000|8000
205	2	5	661864	1000	141|142|143|144	5|5|5|5	1100|8000|8000|8000
206	2	6	710536	1000	141|142|143|144	7|7|7|7	1100|8000|8000|8000
207	2	7	798926	1000	141|142|143|144	9|9|9|9	1100|8000|8000|8000
208	2	8	852219	1000	141|142|143|144	11|11|11|11	1100|8000|8000|8000
209	2	9	904905	1000	141|142|143|144	13|13|13|13	1100|8000|8000|8000
210	2	10	1110682	1000	141|142|143|144	15|15|15|15	1100|8000|8000|8000
211	2	11	1346530	500	141|142|143|144	10|10|10|10	600|800|8000|8000
212	2	12	1485997	500	141|142|143|144	12|12|12|12	600|800|8000|8000
213	2	13	1559650	500	141|142|143|144	14|14|14|14	600|800|8000|8000
214	2	14	1711522	500	141|142|143|144	16|16|16|16	600|800|8000|8000
215	2	15	2043266	500	141|142|143|144	20|20|20|20	600|800|8000|8000
216	2	16	4034555	200	141|142|143|144	5|5|5|5	300|500|700|6000
217	2	17	5079913	200	141|142|143|144	6|6|6|6	300|500|700|6000
218	2	18	6227172	200	141|142|143|144	8|8|8|8	300|500|700|6000
219	2	19	7616037	200	141|142|143|144	10|10|10|10	300|500|700|6000
220	2	20	8695163	200	141|142|143|144	12|12|12|12	300|500|700|6000
221	2	21	9826473	200	141|142|143|144	13|13|13|13	300|500|700|6000
222	2	22	10933245	200	141|142|143|144	13|13|13|13	300|500|700|6000
223	2	23	11895749	200	141|142|143|144	14|14|14|14	300|500|700|6000
224	2	24	12858252	200	141|142|143|144	14|14|14|14	300|500|700|6000
225	2	25	13820756	200	141|142|143|144	15|15|15|15	300|500|700|6000
301	3	1	1081732	500	141|142|143|144	2|2|2|2	600|800|8000|8000
302	3	2	1143292	500	141|142|143|144	4|4|4|4	600|800|8000|8000
303	3	3	1205451	500	141|142|143|144	5|5|5|5	600|800|8000|8000
