int	int	int	int	string	int[]	int	int	int
ID	MWID	LV	NeedExp	AddAttr	UnLockSkill	UnLockFuncID	Privilege	LVLimit
唯一标识	法宝ID	等级	需要经验	属性	解锁的技能	解锁的功能ID	特权编号	法宝之魂开启等级
1	101	0	0		50000|55000|60000			
2	101	1	40				1	150
11	102	0	0					
12	102	1	20			1		
13	102	2	20		50100|55100|60100			
14	102	3	40				3	150
21	103	0	0					
22	103	1	20			76		
23	103	2	40		50400|55400|60400			
24	103	3	80				2	160
31	104	0	0					
32	104	1	20			9		
33	104	2	30		150|250|350			
34	104	3	90				4	180
41	105	0	0					
42	105	1	20			6		
43	105	2	30		50200|55200|60200			
44	105	3	20	6_10000				
45	105	4	80				6	200
51	106	0	0					
52	106	1	20			8		
53	106	2	30	7_300				
54	106	3	40	6_12000				
56	106	4	50		50300|55300|60300			
57	106	5	160				5	220
61	107	0	0					
62	107	1	20			21		
63	107	2	70	7_500				
64	107	3	80	6_15000				
65	107	4	90		50500|55500|60500			
66	107	5	150				7	240
71	108	0	0					
72	108	1	40	6_18000				
73	108	2	80			97		
74	108	3	60	7_500				
75	108	4	70		50600|55600|60600			
76	108	5	190				8	260
81	109	0	0					
82	109	1	30			36		
83	109	2	60	7_500				
84	109	3	70	6_18000				
86	109	4	70		50700|55700|60700			
87	109	5	250				9	280
91	110	0	0					
92	110	1	20			91		
93	110	2	110	6_20000				
94	110	3	120	7_500				
95	110	4	120		50800|55800|60800			
96	110	5	290				10	300
101	201	0	0		50900|55900|60900			
102	202	0	0		50901|55901|60901			
103	203	0	0		50902|55902|60902			
104	204	0	0		50903|55903|60903			
105	205	0	0		50904|55904|60904			
106	206	0	0		50905|55905|60905			
107	207	0	0		50906|55906|60906			
108	208	0	0		50907|55907|60907			
109	209	0	0		50908|55908|60908			
110	210	0	0		50909|55909|60909			
111	211	0	0		50910|55910|60910			
112	212	0	0		50911|55911|60911			
113	213	0	0		50912|55912|60912			
114	214	0	0		50913|55913|60913			
201	302	0	0		47100|47100|47100			
202	304	0	0				11	
203	305	0	0	46_3000				
204	306	0	0	19_2000				
205	307	0	0	60_3000				
