int	int	int	int	int
LV	Exp1	Exp2	MinAtk	MaxAtk
等级	升级经验1	升级经验2	最小攻击	最大攻击
1	0	2016	410	590
2	0	2880	413	596
3	0	5376	417	603
4	0	9600	420	609
5	0	9600	424	616
6	0	10080	427	622
7	0	10080	431	629
8	0	21120	434	635
9	0	21120	438	642
10	0	22080	441	648
11	0	22080	445	655
12	0	23040	448	661
13	0	23040	452	668
14	0	24000	455	674
15	0	24000	459	681
16	0	24960	462	687
17	0	74880	466	694
18	0	77760	469	700
19	0	155520	473	707
20	0	322560	476	713
21	0	645120	480	720
22	0	939517	483	726
23	0	1325706	487	733
24	0	1346458	490	739
25	0	1367370	494	746
26	0	1388445	497	752
27	0	1409683	501	759
28	0	1431087	504	765
29	0	1452659	508	772
30	0	1474401	511	778
31	0	1496313	515	785
32	0	1518398	518	791
33	0	1540657	522	798
34	0	1563093	525	804
35	0	1585706	529	811
36	0	1608500	532	817
37	0	1631475	536	824
38	0	1654634	539	830
39	0	1677977	543	837
40	0	1701508	546	843
41	0	1725228	550	850
42	0	1749138	553	856
43	0	1773242	557	863
44	0	1797540	560	869
45	0	1822035	564	876
46	0	1846728	567	882
47	0	1871621	571	889
48	0	1896718	574	895
49	0	1922017	578	902
50	0	1947525	581	908
51	0	1973239	585	915
52	0	1999165	588	921
53	0	2025303	592	928
54	0	2051656	595	934
55	0	2078224	599	941
56	0	2105012	602	947
57	0	2132020	606	954
58	0	2159250	609	960
59	0	2186707	613	967
60	0	2214390	616	973
61	0	2242302	620	980
62	0	2270445	623	986
63	0	2298821	627	993
64	0	2327435	630	999
65	0	2356285	634	1006
66	0	2385375	637	1012
67	0	2414709	641	1019
68	0	2444285	644	1025
69	0	2474110	648	1032
70	0	2504183	651	1038
71	0	2534508	655	1045
72	0	2565086	658	1051
73	0	2595921	662	1058
74	0	2627013	665	1064
75	0	2658367	669	1071
76	0	2689982	672	1077
77	0	2721865	676	1084
78	0	2754013	679	1090
79	0	2786433	683	1097
80	0	2819125	686	1103
81	0	2852092	690	1110
82	0	2885337	693	1116
83	0	2918861	697	1123
84	0	2952667	700	1129
85	0	2986758	704	1136
86	0	3021138	707	1142
87	0	3055806	711	1149
88	0	3090766	714	1155
89	0	3126022	718	1162
90	0	3161575	721	1168
91	0	3197428	725	1175
92	0	3233584	728	1181
93	0	3270044	732	1189
94	0	3306813	736	1197
95	0	3343891	741	1206
96	0	3381284	746	1214
97	0	3418990	750	1221
98	0	3457016	755	1230
99	0	3495363	759	1238
100	0	3534034	764	1247
101	0	3573029	768	1255
102	0	3612356	773	1264
103	0	3652013	777	1272
104	0	3692006	782	1281
105	0	3732334	787	1290
106	0	3773005	792	1299
107	0	3814016	796	1307
108	0	3855375	801	1316
109	0	3897082	806	1325
110	0	3939139	811	1334
111	0	3981551	816	1344
112	0	4024321	820	1353
113	0	4067449	825	1362
114	0	4110941	830	1371
115	0	4154799	835	1380
116	0	4199025	840	1389
117	0	4243622	845	1398
118	0	4288594	850	1407
119	0	4333944	855	1416
120	0	4379673	860	1425
121	0	4425787	865	1436
122	0	4472286	870	1445
123	0	4519175	875	1454
124	0	4566456	881	1464
125	0	4614133	886	1474
126	0	4662209	891	1484
127	0	4710685	896	1493
128	0	4759566	902	1503
129	0	4808856	907	1513
