int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
VIPPrivilege 	VIP0	VIP1	VIP2	VIP3	VIP4	VIP5	VIP6	VIP7	VIP8	VIP9	VIP10	VIP11	VIP12	VIP13	VIP14	VIP15
VIP特权编号	VIP0级	VIP1级	VIP2级	VIP3级	VIP4级	VIP5级	VIP6级	VIP7级	VIP8级	VIP9级	VIP10级	VIP11级	VIP12级	VIP13级	VIP14级	VIP15级
1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1
3	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1
4	2000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
5	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
6	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
7	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
8	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000
9	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1
10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	0	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000
12	0	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000
13	3	4	5	6	10	11	12	15	16	17	20	20	22	24	26	28
14	2	3	4	5	8	9	10	13	14	15	20	16	18	20	22	24
15	0	0	0	0	1	2	3	4	5	6	7	8	9	10	11	12
16	0	0	1	1	2	2	3	3	4	4	5	5	6	6	6	6
17	1	1	2	2	3	3	4	4	4	4	4	4	4	4	4	4
18	0	0	0	0	1	1	2	2	2	2	2	2	2	2	2	2
19	0	0	0	0	5	5	10	10	15	15	20	20	25	25	30	30
20	0	0	0	0	1	1	1	2	2	2	2	3	3	3	3	3
21	1	1	1	2	2	3	3	3	3	3	3	3	3	3	3	3
22	0	0	0	0	0	1	1	1	1	1	2	2	2	2	2	2
23	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1
24	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
25	2	3	4	5	6	7	8	10	12	14	16	18	20	22	24	25
26	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
27	0	0	2	2	3	3	4	4	5	5	5	5	5	5	5	5
28	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
