int	int	int	int	string
ID	Type	Lv	TABID	SelectActive
界面ID	类型	功能ID	标签页ID	辅助条件
1	1	0	0	
2	1	0	1	
3	1	8	2	
4	1	20	3	
5	2	0	0	
6	1	0	1	
7	1	0	2	
8	1	0	3	
9	1	0	0	
10	1	109	1	
11	1	28	2	
12	2	1	0	
13	1	2	1	
14	1	90	2	
15	1	36	3	
16	1	91	4	
17	1	97	0	
18	1	75	1	
19	1	75	2	
20	1	93	3	
21	1	75	4	
22	1	9	0	
23	1	9	1	
24	2	9	2	
25	1	9	2	
26	1	15	-1	
27	1	15	1	
28	1	15	2	
29	1	15	3	
30	1	15	4	
31	1	15	5	
32	1	8	1	
33	1	6	0	
34	4	6	-1	
35	1	7	-1	
36	1	82	-1	
37	1	7	-1	
38	1	0	-1	
39	1	0	-1	
40	1	34	0	
41	1	0	1	
42	1	0	0	
43	1	72	0	
44	1	78	0	
45	1	78	1	
46	1	78	2	
47	1	24	-1	
48	1	12	0	
49	1	96	-1	
50	1	0	-1	
51	1	0	-1	
52	1	0	-1	
53	1	0	-1	
54	1	0	-1	
55	1	0	-1	
56	3	0	-1	
57	3	0	-1	
58	3	0	-1	
59	1	0	-1	
60	1	0	-1	
61	2	0	0	
62	2	0	-1	
63	1	75	-1	
64	1	75	-1	
65	4	8	-1	
66	1	8	2	
67	4	8	2	
68	1	15	-1	
69	1	83	-1	
70	1	78	-1	6
71	1	0	-1	
72	1	79	0	
73	1	79	1	
74	1	79	2	
75	1	79	3	
76	1	79	4	
77	1	113	0	
78	1	117	0	
79	1	117	3	
80	1	117	1	
81	1	117	2	
82	1	21	0	
83	1	23	1	
84	1	22	2	
85	1	92	3	
86	1	21	4	
87	1	77	0	
88	1	77	1	
89	1	77	2	
90	1	0	-1	
91	1	0	-1	
92	1	87	0	
93	1	0	-1	
94	1	0	-1	
95	1	0	-1	
96	1	0	-1	
97	1	0	-1	
98	1	0	-1	
99	1	80	0	
100	1	0	-1	
101	1	115	0	
102	1	81	0	
103	1	61	1	
104	1	76	0	
105	1	0	0	
106	1	0	1	
107	1	0	2	
108	1	0	3	
109	2	0	0	
110	2	0	1	
111	2	0	2	
112	2	0	3	
113	1	0	0	
114	1	96	-1	
115	1	8	1	
116	1	1	0	
117	1	6	0	
118	2	15	-1	
119	2	7	0	
120	2	10	1	
121	1	7	0	
122	1	10	1	
123	1	15	-1	
124	1	15	-1	
125	1	15	-1	
126	2	15	-1	
127	1	0	2	
128	2	12	1	
129	1	12	1	
130	1	15	-1	
131	2	15	-1	
132	1	73	-1	5
133	2	73	-1	5
134	1	102	-1	7
135	2	102	-1	7
136	1	83	1	
137	1	92	1	
138	1	87	1	
139	2	7	0	301
140	2	15	-1	
141	2	122	2	0
142	2	122	2	1
143	2	110	0	
144	1	0	0	
145	1	1	0	
146	1	123	4	
147	1	124	0	305
148	2	124	0	305
149	1	124	1	306
150	2	124	1	306
151	1	124	2	307
152	2	124	2	307
153	1	0	0	
154	1	115	2	
155	1	87	0	104
156	1	87	0	105
157	2	117	1	3
158	2	117	1	2
159	2	117	1	4
160	2	117	1	5
161	2	117	1	6
162	2	117	1	7
163	2	117	1	8
164	2	117	1	9
165	2	117	1	10
166	2	0	2	
167	2	0	0	2
168	2	0	-1	10
169	2	0	-1	14
170	2	117	1	1
171	2	78	0	5
172	1	20	3	2
173	2	20	3	2
174	1	0	0	0
175	2	0	0	1
176	2	78	0	2
177	2	78	0	9
178	2	78	0	6
179	2	78	1	7
180	2	78	1	8
181	2	78	0	26
182	2	78	1	10
183	2	78	0	11
184	2	126	0	
185	1	76	0	
186	1	80	0	
187	1	78	0	18
188	2	126	0	101
189	2	126	0	102
190	2	126	0	103
191	2	126	0	104
192	2	126	0	105
193	2	126	0	106
194	2	126	0	107
195	2	126	0	108
196	2	126	0	109
197	2	126	0	110
1001	2	82	1	101
1002	2	82	1	102
1003	2	82	1	103
1004	2	82	1	104
1005	2	82	1	105
1006	2	82	1	106
1007	2	82	1	107
1008	2	82	1	108
1009	2	82	1	109
1010	2	82	1	110
1011	2	0	0	302
1012	2	0	0	301
1013	2	0	0	303
1014	2	0	0	304
1015	2	0	0	305
1016	2	0	0	306
1017	2	0	0	307
1018	1	0	2	303
