int	int	int	string	int	int
ID	EXPlower	EXPupper	EXPmaterial	Model	WingsPhase
物品编号	精炼经验下限	精炼经验上限	翅膀阶数对应精炼经验	翅膀模型（换装表ID）	羽翼阶数表
3711	7	9		2101	5
3712	490	630		2102	6
3713	7350	9450		2103	8
3714	44100	56700		2104	10
3715	110250	141750		2105	12
3721	7	9		2201	5
3722	490	630		2202	6
3723	7350	9450		2203	8
3724	44100	56700		2204	10
3725	110250	141750		2205	12
3731	7	9		0	5
3732	490	630		0	6
3733	7350	9450		0	8
3734	44100	56700		0	10
3735	110250	141750		0	12
3801	8	12		0	5
3802	560	840		0	6
3803	8400	12600		0	8
3804	25200	37800		0	10
3805	63000	94500		0	12
3806	63000	94500		0	12
3807	0	0	5_4|6_94|8_438|10_788|12_1112	0	0
3808	0	0	5_34|6_934|8_4375|10_7875|12_11112	0	0
3796	224	336		2101	5
3797	224	336		2201	5
