int	int[]	int	string
NPCID	RareItemID	MapID	PortraitID
NPC表编号	珍稀掉落物品ID	场景ID	头像ID
10403001	8034|10351|10352|10354|20351|20352|20354|999	10040	Body_M028
10503001	3802|3801|8045|10471|10474|20471|20474|999	10050	Body_M705
10603001	3802|9062|8055|10571|20571|10551|20551|999	10060	Body_M042
10703001	3803|9062|3802|8065|10671|20671|10651|999	10070	Body_M049
10803001	3803|9062|3802|8075|10771|20771|10751|999	10080	Body_M056
20103001	8034|10341|10352|10354|20351|20352|20354|999	21070	Body_M076
20103002	8035|10351|10352|10354|20351|20352|20354|999	21070	Body_M077
20103003	8045|10471|10473|10474|20471|20473|20474|999	21070	Body_M078
20103004	5202|5012|3801|8045|10471|20471|10451|999	21070	Body_M079
20103005	5202|5012|3802|3801|8055|10571|20571|999	21070	Body_M080
20103006	5202|5012|3802|8055|10571|20571|10551|999	21070	Body_M081
20103007	5202|5012|3802|9062|8065|10671|20671|999	21070	Body_M082
20203001	5202|3802|9062|8065|10671|20671|10651|999	21100	Body_M100
20203002	5202|3802|9062|8065|10671|20671|10651|999	21100	Body_M101
20203003	5202|3803|3802|9062|8075|10771|20771|999	21100	Body_M102
20203004	5202|3803|3802|9062|8075|10771|20771|999	21100	Body_M103
20203005	5202|3803|3802|8085|10871|20871|10851|999	21100	Body_M104
20203006	5202|3803|3802|8085|10871|20871|10851|999	21100	Body_M105
20203007	5202|3804|3803|8085|10871|20871|10851|999	21100	Body_M049
