int	int	int	int	int	int	int
AreaID	MapID	StartPosX	StartPosY	EndPosX	EndPosY	AreaName
编号	地图ID	起点的X轴	起点的Y轴	终点的X轴	终点的Y 轴	区域名字
75541	10010	29	1	57	29	3000	
75737	10010	188	65	202	83	1	
76335	10020	2	33	37	71	3000	
76337	10020	205	16	243	31	1	
76499	10030	86	6	109	27	1	
76775	10030	5	148	32	171	3001	
76956	10040	206	4	228	30	1	
76958	10040	7	131	46	166	3000	
77278	10040	7	121	46	175	16	
13138	10050	105	2	124	30	1	
13140	10050	52	38	83	73	3000	
49336	10050	50	41	83	71	16	
27978	10060	74	177	109	211	3000	
31982	10060	100	-1	116	13	1	
49478	10060	63	177	115	208	16	
18683	10070	4	193	42	225	3000	
18685	10070	59	0	80	22	1	
49660	10070	1	193	45	225	16	
34362	10080	108	21	132	47	1	
39084	10080	45	51	76	77	3000	
49808	10080	41	51	79	78	16	
79533	10090	103	121	131	153	16	
79534	10090	103	119	133	155	3000	
79535	10090	155	67	171	87	1	
68480	21070	93	57	120	83	3000	
68482	21070	61	98	91	135	3000	
68484	21070	126	92	151	124	3000	
68486	21070	29	60	54	87	3000	
68488	21070	126	24	151	51	3000	
68490	21070	-6	91	28	123	3000	
68492	21070	1	20	27	48	3000	
68494	21070	59	1	89	21	1	
68496	21070	2	3	160	148	16	
63421	21100	89	17	122	41	1	
63423	21100	125	78	153	117	3000	
63425	21100	141	133	171	165	3000	
63427	21100	16	44	48	75	3000	
63429	21100	152	56	181	90	3000	
63431	21100	14	115	45	147	3000	
63433	21100	10	4	190	210	16	
63435	21100	54	171	95	220	3000	
63437	21100	53	74	83	106	3000	
80057	21110	88	85	100	97	1	
80060	21110	84	4	104	24	3000	
80061	21110	121	44	143	66	3000	
80062	21110	120	116	144	140	3000	
80063	21110	87	158	105	178	3000	
80064	21110	42	28	61	47	3000	
80065	21110	41	134	60	152	3000	
80066	21110	4	78	31	106	3000	
80134	21110	1	1	153	175	16	
3034	31020	59	2	86	28	3000	
3035	31020	1	46	23	66	3000	
3036	31020	40	63	57	79	1	
3037	31020	100	33	120	54	3000	
3038	31020	1	2	118	120	16	
3039	31020	71	73	96	97	3000	
3040	31020	23	23	50	50	3000	
3041	31020	11	84	37	109	3000	
3042	31020	53	97	75	118	3000	
3043	31030	46	5	63	21	1	
63217	31030	6	16	28	39	3000	
63218	31030	5	92	29	114	3000	
63219	31030	20	55	43	79	3000	
63220	31030	82	87	103	108	3000	
63221	31030	83	18	107	42	3000	
63227	31030	0	5	109	120	16	
51786	31150	76	64	100	89	3000	
51787	31150	23	103	48	128	3000	
51788	31150	87	121	113	148	3000	
51789	31150	132	108	156	132	3000	
51790	31150	161	71	188	99	3000	
51791	31150	88	190	114	217	3000	
51792	31150	37	157	62	182	12	
51793	31150	142	181	166	205	3000	
51794	31150	8	32	207	235	16	
78086	31150	124	35	140	51	1	
3046	31160	2	6	167	161	16	
3047	31180	0	22	46	75	3000	
3049	31220	27	1	204	222	4	
63625	31220	4	61	42	88	1	
63626	31220	188	60	229	87	1	
63212	41110	0	0	90	50	3002	

