int	int	int	int	int	int
BornID	MapID	PosX	PosY	BornDiameter	Nationality
编号	地图ID	出生点的X轴	出生点的Y轴	出生点的范围格数	国籍
75535	10010	196	80	1	0
76327	10020	208	28	2	0
76507	10030	90	17	2	0
76966	10040	213	17	2	0
13150	10050	108	16	2	0
27964	10060	102	11	1	0
18693	10070	64	6	1	0
34363	10080	121	45	1	0
79532	10090	163	73	1	0
68460	21070	75	12	1	0
63461	21100	103	37	2	0
38	31010	26	6	1	0
47	31020	49	71	2	0
39	31030	55	14	2	0
66552	31040	18	44	1	0
17	31080	20	19	0	0
26	31090	14	31	2	0
32	31130	26	16	2	0
16	31140	16	14	1	0
8	31150	133	43	2	0
20	31160	100	59	3	0
12	31170	76	15	2	0
44	31180	112	24	2	0
31989	31190	24	3	1	0
22	31210	11	29	1	0
41	31220	18	74	8	0
33	31230	12	23	1	0
19	31240	32	16	2	0
1	31250	30	18	1	0
49	52010	21	16	1	0
50454	52020	21	16	1	0

