int	int	string	int	int	int	int	int	string	int	int	int	int	int	int	int	int	int	int	int	int	int	int
RefreshID	NPCID	NPCName	NPCType	NPCLv	MapID	Unknow1	Unknow2	HexPosNPCRefreshAreaChaseArea	PerRefreshNum	RefreshNum	NPCFace	Unknow3	RefreshTime	Unknow4	Unknow5	Unknow6	Unknow7	NPCRoute	StayMinTime	StayMaxTime	RefreshMark	Unknow9
Ë¢ÐÂµã±àºÅ	ID	Ãû×Ö	NPCÀàÐÍ	µÈ¼¶	ËùÔÚµØÍ¼	²»Ã÷	²»Ã÷	"Ê®Áù½øÖÆ×ø±êX,Y|¹ÖÎïË¢ÐÂ·¶Î§|×·»÷·¶Î§"	µ¥´ÎË¢¹ÖÊýÁ¿	Ë¢¹Ö×ÜÊýÁ¿	¹ÖÎïÃæÏò	²»Ã÷	Ë¢ÐÂÊ±¼ä	²»Ã÷	²»Ã÷	²»Ã÷	²»Ã÷	¹ÖÎïÂ·µã	Í£ÁôÊ±¼ä×îÐ¡	Í£ÁôÊ±¼ä×î´ó	Ë¢ÐÂ±êÊ¶	²»Ã÷
75553	10101004	Ä§»¯ÀÇÑý	2	12	10010	0	1	70 00 00 00 33 00 00 00 01 00 00 00 0C 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75563	10101004	Ä§»¯ÀÇÑý	2	12	10010	0	1	7D 00 00 00 33 00 00 00 01 00 00 00 0F 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75571	10101004	Ä§»¯ÀÇÑý	2	12	10010	0	1	6C 00 00 00 33 00 00 00 01 00 00 00 0A 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75585	10101004	Ä§»¯ÀÇÑý	2	12	10010	0	1	6E 00 00 00 35 00 00 00 01 00 00 00 0A 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75597	10101005	·¢¿ñÉ½±ª	2	14	10010	0	1	54 00 00 00 38 00 00 00 01 00 00 00 0A 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75609	10101005	·¢¿ñÉ½±ª	2	14	10010	0	1	56 00 00 00 3A 00 00 00 01 00 00 00 0A 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75621	10101005	·¢¿ñÉ½±ª	2	14	10010	0	1	4F 00 00 00 32 00 00 00 01 00 00 00 0A 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75631	10102001	Ð×ÑÀÃÍ»¢	2	17	10010	0	1	54 00 00 00 16 00 00 00 01 00 00 00 0F 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75647	10102001	Ð×ÑÀÃÍ»¢	2	17	10010	0	1	54 00 00 00 0C 00 00 00 01 00 00 00 0F 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75659	10102001	Ð×ÑÀÃÍ»¢	2	17	10010	0	1	4F 00 00 00 0B 00 00 00 01 00 00 00 0F 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75671	10103001	¿ñ±©¾ÞÐÜ	2	20	10010	0	1	2B 00 00 00 0E 00 00 00 01 00 00 00 0F 00 00 00	1	1	0	0	3000	0	0	1	0	 	5	5	0	0	
75679	10104011	²¼ÒÂµÀÊ¿	0	11	10010	0	1	4A 00 00 00 18 00 00 00 00 00 00 00 0F 00 00 00	1	1	90	0	0	0	0	1	0	 	5	5	0	0	
75687	10104003	ÔÆÈôÑÌ	0	4	10010	0	1	C4 00 00 00 57 00 00 00 00 00 00 00 0F 00 00 00	1	1	128	0	0	0	0	1	0	 	5	5	0	0	
75701	10101002	´ó¶ú	2	6	10010	0	1	AD 00 00 00 67 00 00 00 01 00 00 00 0A 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75711	10101002	´ó¶ú	2	6	10010	0	1	AB 00 00 00 66 00 00 00 01 00 00 00 0A 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75721	10101003	Ë®¾«Áé	2	8	10010	0	1	7D 00 00 00 68 00 00 00 01 00 00 00 0A 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75733	10101003	Ë®¾«Áé	2	8	10010	0	1	80 00 00 00 64 00 00 00 01 00 00 00 0F 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75745	10101002	´ó¶ú	2	6	10010	0	1	A5 00 00 00 6D 00 00 00 01 00 00 00 07 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75747	10101002	´ó¶ú	2	6	10010	0	1	A7 00 00 00 6E 00 00 00 01 00 00 00 0A 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75749	10101001	»ú¹Ø»ÃÊÞ	2	5	10010	0	1	CB 00 00 00 62 00 00 00 01 00 00 00 0F 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75755	10101001	»ú¹Ø»ÃÊÞ	2	5	10010	0	1	CA 00 00 00 65 00 00 00 01 00 00 00 0F 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75759	10101001	»ú¹Ø»ÃÊÞ	2	5	10010	0	1	C8 00 00 00 6D 00 00 00 01 00 00 00 07 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75761	10101001	»ú¹Ø»ÃÊÞ	2	5	10010	0	1	CA 00 00 00 6F 00 00 00 01 00 00 00 07 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75763	10101001	»ú¹Ø»ÃÊÞ	2	5	10010	0	1	C7 00 00 00 6A 00 00 00 01 00 00 00 08 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75765	10101001	»ú¹Ø»ÃÊÞ	2	5	10010	0	1	CB 00 00 00 6D 00 00 00 01 00 00 00 08 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75791	10101004	Ä§»¯ÀÇÑý	2	12	10010	0	1	73 00 00 00 3B 00 00 00 01 00 00 00 0F 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75793	10101004	Ä§»¯ÀÇÑý	2	12	10010	0	1	75 00 00 00 3C 00 00 00 01 00 00 00 0F 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75703	10101003	Ë®¾«Áé	2	8	10010	0	1	88 00 00 00 66 00 00 00 01 00 00 00 0A 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75785	10101003	Ë®¾«Áé	2	8	10010	0	1	8A 00 00 00 69 00 00 00 01 00 00 00 0F 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75787	10101004	Ä§»¯ÀÇÑý	2	12	10010	0	1	70 00 00 00 3B 00 00 00 01 00 00 00 0F 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75789	10101004	Ä§»¯ÀÇÑý	2	12	10010	0	1	72 00 00 00 3E 00 00 00 01 00 00 00 0F 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75713	10101002	´ó¶ú	2	6	10010	0	1	AC 00 00 00 65 00 00 00 01 00 00 00 0C 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75715	10101002	´ó¶ú	2	6	10010	0	1	AF 00 00 00 65 00 00 00 01 00 00 00 0A 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75723	10101002	´ó¶ú	2	6	10010	0	1	AE 00 00 00 63 00 00 00 01 00 00 00 0A 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75725	10101005	·¢¿ñÉ½±ª	2	14	10010	0	1	55 00 00 00 2C 00 00 00 01 00 00 00 0A 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75673	10104009	É½¼ä´åÃñ	0	10	10010	0	1	6D 00 00 00 40 00 00 00 00 00 00 00 0F 00 00 00	1	1	128	0	0	0	0	1	0	 	5	5	0	0	
75681	10104013	ÇåÐéµÀ³¤	0	13	10010	0	1	12 00 00 00 10 00 00 00 00 00 00 00 0F 00 00 00	1	1	64	0	0	0	0	1	0	 	5	5	0	0	
75689	10109001	³ýÄ§Ê¯¾ÞÈË´«ËÍÊ¯	0	70	10010	0	1	CE 00 00 00 5E 00 00 00 00 00 00 00 0F 00 00 00	1	1	128	0	0	0	0	1	0	 	5	5	0	0	
75691	10109002	³ýÄ§Ìì½«´«ËÍÊ¯	0	70	10010	0	1	AF 00 00 00 5C 00 00 00 00 00 00 00 0F 00 00 00	1	1	128	0	0	0	0	1	0	 	5	5	0	0	
75693	10109003	³ýÄ§±ùÑý´«ËÍÊ¯	0	70	10010	0	1	D7 00 00 00 79 00 00 00 00 00 00 00 0F 00 00 00	1	1	128	0	0	0	0	1	0	 	5	5	0	0	
75633	10102001	Ð×ÑÀÃÍ»¢	2	17	10010	0	1	55 00 00 00 13 00 00 00 01 00 00 00 0F 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75635	10102001	Ð×ÑÀÃÍ»¢	2	17	10010	0	1	57 00 00 00 15 00 00 00 01 00 00 00 0A 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75637	10102001	Ð×ÑÀÃÍ»¢	2	17	10010	0	1	56 00 00 00 0B 00 00 00 01 00 00 00 0F 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75623	10101005	·¢¿ñÉ½±ª	2	14	10010	0	1	54 00 00 00 2E 00 00 00 01 00 00 00 0A 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75625	10101005	·¢¿ñÉ½±ª	2	14	10010	0	1	57 00 00 00 30 00 00 00 01 00 00 00 0A 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75735	10101003	Ë®¾«Áé	2	8	10010	0	1	87 00 00 00 64 00 00 00 01 00 00 00 0F 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75649	10102001	Ð×ÑÀÃÍ»¢	2	17	10010	0	1	4D 00 00 00 0B 00 00 00 01 00 00 00 0F 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75651	10102001	Ð×ÑÀÃÍ»¢	2	17	10010	0	1	57 00 00 00 0D 00 00 00 01 00 00 00 0F 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75653	10102001	Ð×ÑÀÃÍ»¢	2	17	10010	0	1	53 00 00 00 13 00 00 00 01 00 00 00 0C 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75587	10101004	Ä§»¯ÀÇÑý	2	12	10010	0	1	7A 00 00 00 40 00 00 00 01 00 00 00 0F 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75771	10101001	»ú¹Ø»ÃÊÞ	2	5	10010	0	1	D2 00 00 00 6A 00 00 00 01 00 00 00 0A 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75773	10101001	»ú¹Ø»ÃÊÞ	2	5	10010	0	1	D1 00 00 00 6F 00 00 00 01 00 00 00 0A 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75775	10101001	»ú¹Ø»ÃÊÞ	2	5	10010	0	1	D0 00 00 00 6C 00 00 00 01 00 00 00 0A 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75777	10101001	»ú¹Ø»ÃÊÞ	2	5	10010	0	1	D0 00 00 00 69 00 00 00 01 00 00 00 0A 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75779	10104004	ÄÚÎñ×Ü¹Ü	0	5	10010	0	1	BD 00 00 00 76 00 00 00 00 00 00 00 0F 00 00 00	1	1	128	0	0	0	0	1	0	 	5	5	0	0	
75781	10101003	Ë®¾«Áé	2	8	10010	0	1	82 00 00 00 6A 00 00 00 01 00 00 00 0F 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75783	10101003	Ë®¾«Áé	2	8	10010	0	1	8C 00 00 00 66 00 00 00 01 00 00 00 0F 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75599	10101005	·¢¿ñÉ½±ª	2	14	10010	0	1	4C 00 00 00 3B 00 00 00 01 00 00 00 0F 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75573	10101004	Ä§»¯ÀÇÑý	2	12	10010	0	1	7D 00 00 00 36 00 00 00 01 00 00 00 0F 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75575	10101004	Ä§»¯ÀÇÑý	2	12	10010	0	1	80 00 00 00 33 00 00 00 01 00 00 00 0F 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75577	10101004	Ä§»¯ÀÇÑý	2	12	10010	0	1	6E 00 00 00 32 00 00 00 01 00 00 00 0C 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75611	10101005	·¢¿ñÉ½±ª	2	14	10010	0	1	53 00 00 00 36 00 00 00 01 00 00 00 0A 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75613	10101005	·¢¿ñÉ½±ª	2	14	10010	0	1	53 00 00 00 3A 00 00 00 01 00 00 00 0A 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75615	10101005	·¢¿ñÉ½±ª	2	14	10010	0	1	4B 00 00 00 30 00 00 00 01 00 00 00 0F 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75661	10102001	Ð×ÑÀÃÍ»¢	2	17	10010	0	1	4B 00 00 00 12 00 00 00 01 00 00 00 0C 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75555	10101004	Ä§»¯ÀÇÑý	2	12	10010	0	1	80 00 00 00 36 00 00 00 01 00 00 00 0F 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75565	10101004	Ä§»¯ÀÇÑý	2	12	10010	0	1	78 00 00 00 31 00 00 00 01 00 00 00 0F 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75557	10101004	Ä§»¯ÀÇÑý	2	12	10010	0	1	78 00 00 00 34 00 00 00 01 00 00 00 0F 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75567	10101004	Ä§»¯ÀÇÑý	2	12	10010	0	1	7D 00 00 00 3E 00 00 00 01 00 00 00 0F 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75579	10101004	Ä§»¯ÀÇÑý	2	12	10010	0	1	7F 00 00 00 31 00 00 00 01 00 00 00 0F 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75589	10101004	Ä§»¯ÀÇÑý	2	12	10010	0	1	75 00 00 00 34 00 00 00 01 00 00 00 0F 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75601	10101005	·¢¿ñÉ½±ª	2	14	10010	0	1	4E 00 00 00 3C 00 00 00 01 00 00 00 0F 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75617	10101005	·¢¿ñÉ½±ª	2	14	10010	0	1	4B 00 00 00 38 00 00 00 01 00 00 00 0F 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75627	10101005	·¢¿ñÉ½±ª	2	14	10010	0	1	54 00 00 00 31 00 00 00 01 00 00 00 0A 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75639	10102001	Ð×ÑÀÃÍ»¢	2	17	10010	0	1	59 00 00 00 0E 00 00 00 01 00 00 00 0F 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75655	10102001	Ð×ÑÀÃÍ»¢	2	17	10010	0	1	4F 00 00 00 08 00 00 00 01 00 00 00 0F 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75663	10102001	Ð×ÑÀÃÍ»¢	2	17	10010	0	1	4C 00 00 00 15 00 00 00 01 00 00 00 0C 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75675	10104010	É½ÄÚ´åÃñ	0	10	10010	0	1	4C 00 00 00 2B 00 00 00 00 00 00 00 0F 00 00 00	1	1	38	0	0	0	0	1	0	 	5	5	0	0	
75683	10104005	ÓñÇåÕæÈË	0	6	10010	0	1	AA 00 00 00 74 00 00 00 00 00 00 00 0F 00 00 00	1	1	128	0	0	0	0	1	0	 	5	5	0	0	
75695	10109004	ÏÉ¹ûÖ®É½´«ËÍÊ¯	0	70	10010	0	1	C8 00 00 00 76 00 00 00 00 00 00 00 0F 00 00 00	1	1	128	0	0	0	0	1	0	 	5	5	0	0	
75705	10101003	Ë®¾«Áé	2	8	10010	0	1	8C 00 00 00 63 00 00 00 01 00 00 00 0A 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75717	10101003	Ë®¾«Áé	2	8	10010	0	1	7E 00 00 00 65 00 00 00 01 00 00 00 0A 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75719	10101003	Ë®¾«Áé	2	8	10010	0	1	8C 00 00 00 69 00 00 00 01 00 00 00 0A 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75727	10101003	Ë®¾«Áé	2	8	10010	0	1	88 00 00 00 69 00 00 00 01 00 00 00 0F 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75729	10101003	Ë®¾«Áé	2	8	10010	0	1	82 00 00 00 67 00 00 00 01 00 00 00 0F 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
