uint	uint	int	int	int	uint	int	int	int	int
TransportID	OriginalMapID	OriginalPosX	OriginalPosY	TransportDiameter	TargetMapID	PerformID	TransportType	OutPosX	OutPosY
传送点编号	当前地图Id	当前地图X轴坐标	当前地图Y轴坐标	传送点范围格数	目标地点地图ID	特效表现Id	传送点类型	移出传送点时的坐标X	移出传送点时的坐标Y
75539	10010	12	11	2	10020	10000	2	16	11
76329	10020	6	51	2	10030	10000	2	10	51
76331	10020	212	23	2	10010	10000	1	209	26
76503	10030	99	13	2	10020	10000	1	95	16
76505	10030	7	143	2	10040	10000	2	11	142
76962	10040	55	130	2	10050	10000	2	56	134
76964	10040	221	15	2	10030	10000	1	213	17
13146	10050	78	48	2	10060	10000	2	75	51
13148	10050	114	16	2	10040	10000	1	109	17
27966	10060	99	168	2	10070	10000	2	97	164
27970	10060	104	5	2	10050	10000	1	102	11
18691	10070	70	6	1	10060	10000	1	67	6
35151	10070	15	171	2	10080	10000	2	19	174
34660	10080	121	36	2	10070	10000	1	121	40
34661	10080	76	40	2	10090	10000	2	72	40
79883	10090	163	79	2	10080	10000	1	163	75
80334	10090	14	172	2	21070	10000	2	17	172
